SampleID,Site,Host,Lat,Lon,Elevation_ft,CollectionDate,CollectionTime,PlantsIn10x10m,,,,
SH062,Muhoroni,maize,-0.1484417,35.19278,4262,7/4/18,9:49,<10,,,,
SH063,Muhoroni,maize,-0.1484417,35.19278,4262,7/4/18,9:49,<10,,,,
SH064,Muhoroni,maize,-0.1484417,35.19278,4262,7/4/18,9:49,<10,,,,
SH065,Muhoroni2,maize,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH066,Muhoroni2,maize,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH067,Muhoroni2,maize,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH068,Muhoroni2,maize,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH069,Muhoroni2,maize,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH070,Muhoroni2,maize,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH071,Muhoroni2,sugarcane,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH072,Muhoroni2,sugarcane,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH073,Muhoroni2,sugarcane,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH074,Muhoroni2,sugarcane,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH075,Muhoroni2,sugarcane,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH076,Muhoroni2,sugarcane,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH077,Muhoroni2,sugarcane,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH078,Muhoroni2,sugarcane,-0.15125,35.19167,4239,7/4/18,10:22,10 < n < 100,,,,
SH079,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH080,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH081,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH082,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH083,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH084,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH085,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH086,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH087,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH088,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH089,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH090,Chemelil,maize,-0.082375,35.13167,4176,7/4/18,12:42,>100,,,,
SH091,Chemelil2,sorghum,-0.09416667,35.12495,4060,7/4/18,13:43,10 < n < 100,,,,
