gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c12903_g2809	2.29	2.64	1.44	2.52	2.59	3.31	2.29	2.1
StHeBC4_c12903_g28091	20.03	3.75	4.9	4.92	2.79	5.01	7.06	5.15
StHeBC4_c12903_g28092	2.8	9.8	9.84	9.63	12.28	9.68	12.39	14.74
StHeBC4_c12903_g28094	0.07	1.83	2.17	3.66	2.97	6.52	3.84	1.28
StHeBC4_c12903_g28095	1.08	5.45	6.44	5.8	5.96	4.66	5.04	7.23
StHeBC4_c12903_g28096	13.49	12.33	14.69	17.73	17.92	14.87	8.04	6.83
StHeBC4_c12903_g28097	0.15	0.73	0.71	1.45	1.14	0.55	0.91	2.6
StHeBC4_c12903_g28098	0	0	0	0	0.09	0.1	0	0
StHeBC4_c12903_g28099	0.08	0.15	0	0	0	0	0	0
StHeBC4_c12903_g281	0	0	0	0.19	0	0	0	0
StHeBC4_c12903_g2810	19.39	8.68	11.3	11.7	11.57	10.82	5.81	7.18
StHeBC4_c12903_g28100	0.38	0.78	0.19	0.26	0.63	0.37	1.38	52.54
StHeBC4_c12903_g28101	3.15	5.6	4.72	6.57	6.26	6.4	5.13	6.83
StHeBC4_c12903_g28102	0	0.07	0	0.13	0.24	0.12	0.05	0.07
StHeBC4_c12903_g28104	0	0	0.03	0	0.01	0	0	0
StHeBC4_c12903_g28105	3.48	5.56	3.85	6.54	8.03	3.38	6.48	3.42
StHeBC4_c12903_g28106	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28107	0.02	0.01	0.08	0	0	0.09	0	0
StHeBC4_c12903_g28108	8.38	10.13	8.5	13.43	16.33	7.8	10.82	9.99
StHeBC4_c12903_g28109	0.21	0.15	0.27	0.38	0.14	0	0.26	0.39
StHeBC4_c12903_g2811	11.81	29.91	25.36	48.62	45.99	51.19	34.31	48.46
StHeBC4_c12903_g28112	0	0	0.15	0	0	0	0	0
StHeBC4_c12903_g28113	80.08	82.09	91.27	143.65	95.57	45.45	184.78	94.94
StHeBC4_c12903_g28114	9.58	3.93	4.85	6.48	5.13	5.21	3.63	5.18
StHeBC4_c12903_g28115	0.13	0	0	0.32	0.28	0.16	0.31	0
StHeBC4_c12903_g28116	0	0	0	0	0	0	0.06	0
StHeBC4_c12903_g28118	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28119	3.46	3.5	3.87	9.83	11.53	11.78	6.06	6.2
StHeBC4_c12903_g2812	0	0	0.05	0.08	0	0	0.06	0.12
StHeBC4_c12903_g28120	0.06	0	0	0	0.1	0.06	0.24	0.24
StHeBC4_c12903_g28121	15.73	9.62	9.24	9.79	11.91	12.17	11.37	9.83
StHeBC4_c12903_g28122	3.2	4.44	2.56	5.16	8.16	2.68	0.45	0.83
StHeBC4_c12903_g28123	2.16	15.06	8.72	11.04	9.78	9.34	104.79	87.62
StHeBC4_c12903_g28124	1.72	0.1	0.99	0	0.03	0.05	0.02	0.05
StHeBC4_c12903_g28125	0	0.27	0.8	0	0.49	0.63	0.14	0
StHeBC4_c12903_g28126	0	0	0.11	0	0	0	0	0
StHeBC4_c12903_g28127	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28128	131.78	160.71	161.36	252.67	188.02	88.94	317.09	172.95
StHeBC4_c12903_g28129	71.44	47.57	48.28	46.28	57.87	48.36	46.24	35.28
StHeBC4_c12903_g2813	0.31	0.3	0.26	0.35	0.46	0.25	0.14	0.09
StHeBC4_c12903_g28130	11.37	3.56	5.22	5.88	7.21	6.37	5.77	6.73
StHeBC4_c12903_g28131	0	0.01	0	0	0	0	0	0
StHeBC4_c12903_g28132	80.13	38.36	46.52	59.02	63.58	73.25	14.34	30.49
StHeBC4_c12903_g28134	0	0	0	0	0.04	0	0	0
StHeBC4_c12903_g28135	0.4	0.04	0	0.18	0.15	1.19	0	0.1
StHeBC4_c12903_g28136	0.39	0.94	1.08	1.05	1.36	1.41	0.77	0.99
StHeBC4_c12903_g28137	0.54	0.19	0.46	0.49	0.43	1.22	0	0
StHeBC4_c12903_g28138	12.34	17.63	16.65	35.33	37.11	14.02	18.33	11.41
StHeBC4_c12903_g28139	11.3	6.76	8.33	9.24	9.17	9.62	5.14	9.34
StHeBC4_c12903_g2814	0.08	0.1	0.13	0.06	0	0.04	0.03	3.66
StHeBC4_c12903_g28140	0.41	23.54	9.1	11.59	20.71	11.67	0.05	1.97
StHeBC4_c12903_g28141	0	0	0	0	0	0	0	50
StHeBC4_c12903_g28142	18.85	6.35	12.41	10.3	5.35	9.98	10.99	13.05
StHeBC4_c12903_g28143	1.16	0.12	0.68	0.64	0.56	1.64	0.48	0.39
StHeBC4_c12903_g28145	14.2	6.46	8.19	10.06	10.3	10.37	5.54	7.16
StHeBC4_c12903_g28147	0.38	0.96	0.69	1.12	0.9	0.28	0.26	1.41
StHeBC4_c12903_g28148	10.85	3.73	7.58	8.53	7.95	10.76	5.76	7.49
StHeBC4_c12903_g28149	33.12	13.93	12.47	18.6	23.1	13.57	13.8	15.27
StHeBC4_c12903_g2815	0	0.02	0.05	0.07	0.03	0.12	0.04	0.05
StHeBC4_c12903_g28150	3.34	16.88	8.68	19.3	29.18	6.12	0.65	4.54
StHeBC4_c12903_g28151	5.03	3.68	5.2	3.59	2.96	5.95	8.04	6.24
StHeBC4_c12903_g28152	7.87	2.74	4.69	3.97	3.07	6.66	2.66	2.8
StHeBC4_c12903_g28153	0.66	2.62	1.44	5.35	8.43	1.53	0.16	0.12
StHeBC4_c12903_g28154	0.02	0.06	0	0.77	2.18	0.53	0.23	1.22
StHeBC4_c12903_g28156	0	0	0	0	0	0	0	0.05
StHeBC4_c12903_g28157	12.3	4.3	6.32	4.59	2.35	6.1	5.8	7.65
StHeBC4_c12903_g28158	0.21	1.34	1.3	0.37	1.37	0.17	0	1.6
StHeBC4_c12903_g2816	10.05	3.82	5.84	5.35	4.46	5.92	3.24	3.1
StHeBC4_c12903_g28160	0	1.21	1.09	1.25	0.31	2.18	0	1.27
StHeBC4_c12903_g28161	2.85	2.69	5.65	7.09	5.55	1.87	3.6	2.71
StHeBC4_c12903_g28162	0.28	0.39	0.34	0.98	1.49	0.52	0.07	0.05
StHeBC4_c12903_g28164	0.44	0.95	0.61	0.65	0.49	0.37	0.36	0.59
StHeBC4_c12903_g28165	0.25	0.1	0.04	0.76	0	0.48	0.26	0.43
StHeBC4_c12903_g28166	0.03	0.02	0	0.02	0	0.02	0.02	0
StHeBC4_c12903_g28167	0.99	0.59	0.4	0.61	0.67	0.47	0.48	0
StHeBC4_c12903_g28168	0	0	0	0	0	0	0	0
StHeBC4_c12903_g2817	0	0.03	0.08	0.4	0.34	0.09	0.18	0
StHeBC4_c12903_g28171	6.27	1.04	2.32	2.96	1.56	3.57	0.64	2.82
StHeBC4_c12903_g28172	1.14	0.46	0.89	0.26	0	0	0	0.06
StHeBC4_c12903_g28173	0.3	0.12	0.33	0.22	0.2	0.28	0.3	0.19
StHeBC4_c12903_g28176	4.95	4.08	3.33	4.39	6.16	8.67	0	0
StHeBC4_c12903_g28177	0	0.22	1.92	1.21	0.3	0.08	0	0
StHeBC4_c12903_g28178	0.05	5.74	1.69	7.1	13.42	1.34	0.13	1.13
StHeBC4_c12903_g28179	13.52	3.01	3.82	3.39	4.39	3.38	2.05	2.51
StHeBC4_c12903_g2818	9.02	5.01	6.96	7.59	7.4	5.89	4.14	6.33
StHeBC4_c12903_g28180	0.1	1.11	2.04	1.75	1.66	1.5	3.64	1.19
StHeBC4_c12903_g28181	0	0.1	0	0.11	0	0	0	0
StHeBC4_c12903_g28182	0	0	0	0.23	0.19	0.14	0	0
StHeBC4_c12903_g28183	1.26	1.51	2.32	1.77	1.77	4.45	0.94	1.51
StHeBC4_c12903_g28184	39.73	47.76	65.75	62.61	39.37	65.73	28.43	38.59
StHeBC4_c12903_g28185	49.18	29.05	32.75	43.13	46.89	42.5	30.5	47.73
StHeBC4_c12903_g28186	35.27	10.36	18.16	10.6	11.96	17.74	11.83	11.43
StHeBC4_c12903_g28187	11.06	0.26	0.53	0.17	0.09	0.57	0.24	0.64
StHeBC4_c12903_g28188	12.12	5.95	7.68	10.76	8.27	8.57	21.28	16.55
StHeBC4_c12903_g2819	0.03	0	0	0	0	0	0	0
StHeBC4_c12903_g28190	1.2	3.6	5.49	9.28	9.46	7.63	13.1	10.01
StHeBC4_c12903_g28191	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28192	1.16	2.35	2.42	3.38	2.42	1.69	1.35	3.86
StHeBC4_c12903_g28193	0	0.1	0.52	0.39	0.12	0.55	0.03	0
StHeBC4_c12903_g28194	51.65	193.13	125.49	170.91	209.18	121.57	127.53	130.08
StHeBC4_c12903_g28195	4.53	1.11	1.99	1.76	0.85	3.99	1.13	2.4
StHeBC4_c12903_g28196	0.37	0.11	0.09	0.22	0	1.02	0.21	0.08
StHeBC4_c12903_g28197	8.98	8.9	7.37	9.36	9.6	9.34	6.97	7.97
StHeBC4_c12903_g28198	8.94	20.03	23.54	25.69	21.76	29.54	10.49	24.29
StHeBC4_c12903_g28199	0.05	26.59	54.88	19.76	10.33	31.33	0	0.37
StHeBC4_c12903_g282	14.68	7.24	9.52	12.58	9.43	15.13	13.61	17.11
StHeBC4_c12903_g2820	0.5	0.45	1.34	0.84	1	0.68	0	0
StHeBC4_c12903_g28200	16.97	1.31	4.37	2.94	2.26	4.38	0.2	0.29
StHeBC4_c12903_g28201	0.06	0.09	0	0.1	0.17	0.28	0.09	13.6
StHeBC4_c12903_g28202	7.11	21.1	19.88	33.24	27.07	14.05	42.13	32.11
StHeBC4_c12903_g28203	0.2	0	0	0	0	0	0.5	0.18
StHeBC4_c12903_g28204	25.53	22.19	23.47	26.12	26.09	15.63	16.84	15.12
StHeBC4_c12903_g28205	1.86	1.07	1.24	1.25	1.21	1.09	0.48	0.5
StHeBC4_c12903_g28206	0.15	0.67	1.45	1.71	1.81	5.3	0.67	0.79
StHeBC4_c12903_g28207	0	0	0.04	0	0	0	0	0
StHeBC4_c12903_g28208	7.33	6.71	7.63	7.63	8.67	12.22	1.9	8.14
StHeBC4_c12903_g28209	0.24	0	0	0.63	0.1	0	2.51	5.06
StHeBC4_c12903_g2821	0.45	0.37	1.65	6.04	5.81	2.64	2.05	1.6
StHeBC4_c12903_g28210	2.07	1.02	1.2	1.03	1.65	0.93	0.46	0.55
StHeBC4_c12903_g28211	0.19	4.67	5.61	9.66	8.8	21.01	13.13	4.72
StHeBC4_c12903_g28212	0.13	0.39	1.29	2.1	1.76	1.87	1.27	1.04
StHeBC4_c12903_g28213	0.79	1.16	0.24	0.67	0.94	0.16	0.04	0.49
StHeBC4_c12903_g28214	0	0	0	0	0	0.05	1.22	0.79
StHeBC4_c12903_g28215	4.46	5.49	6.41	8.31	4.79	10.63	16.85	20.45
StHeBC4_c12903_g28217	29.17	57.33	41.51	50.61	58.79	33.04	26.17	42.9
StHeBC4_c12903_g28218	11.42	9.32	9.45	13.76	13.45	9.87	9.54	10.58
StHeBC4_c12903_g28219	157.3	68.05	113.64	60.51	39.87	51.42	25.39	46.78
StHeBC4_c12903_g28220	0.84	0.24	0.4	0.15	0	0.39	0.69	0.05
StHeBC4_c12903_g28221	0	0	0	0.05	0	0	0.09	0.76
StHeBC4_c12903_g28223	5.69	6.51	12.14	2.46	3.74	3.68	3.69	4.02
StHeBC4_c12903_g28224	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28225	5.67	2.65	2.65	6.61	7.08	3.65	2.03	2.47
StHeBC4_c12903_g28226	2.81	4.82	4.3	18.73	23.94	20.34	12.34	14.38
StHeBC4_c12903_g28227	5.17	13.62	9.6	9.87	11.84	7.43	6.88	6.44
StHeBC4_c12903_g28228	0.99	2.05	0.88	2.12	2.73	0.79	0	3.69
StHeBC4_c12903_g28229	8.96	7.75	8.93	14.43	11.03	7.38	17.2	18.2
StHeBC4_c12903_g2823	3.09	3.57	3.32	4.52	4.25	7.21	0.14	0.07
StHeBC4_c12903_g28230	3.87	0.89	0.94	1.17	1.17	1.26	0.7	0.56
StHeBC4_c12903_g28231	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28232	0	0	0	0.02	0	0.03	0	0
StHeBC4_c12903_g28233	9.83	18.15	26.7	24.61	16.84	12.45	18.61	13.05
StHeBC4_c12903_g28234	74.01	29.99	48.22	36.59	32.52	48.02	33.27	27.31
StHeBC4_c12903_g28235	4.56	37.05	10.98	11	18.6	1.84	7.05	33.33
StHeBC4_c12903_g28236	0.7	12.41	9.96	14.39	15.76	12.01	13.56	14.29
StHeBC4_c12903_g28239	0.06	0.02	0.03	0.05	0.03	0.03	0	0
StHeBC4_c12903_g2824	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28240	5.38	8.05	6.97	11.79	10.39	5.26	9.44	12.22
StHeBC4_c12903_g28241	0.13	0.76	0.42	3.79	7.9	5.5	8.01	7.04
StHeBC4_c12903_g28242	43.03	15.45	22.93	24.59	27.49	25.76	7.05	15.59
StHeBC4_c12903_g28244	0.33	6.63	3.08	2.24	1.9	0.83	0	0.2
StHeBC4_c12903_g28245	14.59	6.6	8.16	6.94	6.4	7.14	3.53	5.44
StHeBC4_c12903_g28246	13.5	11.14	14.32	16.09	15.47	10.04	18	21.11
StHeBC4_c12903_g28247	6.24	8.52	5.02	11.17	12.45	8.78	12.79	6.86
StHeBC4_c12903_g28248	0	0.19	0.18	0.09	0.18	0	0	0.06
StHeBC4_c12903_g28249	18.27	2.09	3.07	0.45	1.23	0.6	2.3	5
StHeBC4_c12903_g2825	1.91	1.11	0.96	1.69	0.81	1.63	0.77	0.32
StHeBC4_c12903_g28250	2.04	2.4	2.32	3.9	4.12	2.67	1.9	1.75
StHeBC4_c12903_g28251	0	0.1	0	0	0	0.08	0	0
StHeBC4_c12903_g28252	7.77	13.91	15.75	17.49	16.99	13.69	8.31	12.25
StHeBC4_c12903_g28253	10.43	14.13	13.07	13.36	14.56	10.95	14.41	15.82
StHeBC4_c12903_g28255	15.69	5.24	9.04	8.57	7.91	5.29	5.73	4.48
StHeBC4_c12903_g28257	1.29	6.19	5.62	27.63	17.24	14.95	1.87	0.6
StHeBC4_c12903_g28258	0	0	0	0	0	0	0	3.85
StHeBC4_c12903_g2826	1.27	4.13	10.03	25.72	22.89	13.26	13.98	8.33
StHeBC4_c12903_g28260	0	0.21	0	0.25	0	0.19	0	0
StHeBC4_c12903_g28261	0.25	0.22	0.32	0.35	0.43	0.16	0.08	0.13
StHeBC4_c12903_g28262	0	0.16	0	0.06	0	0.06	0	0
StHeBC4_c12903_g28263	0.4	0.17	0.42	0.49	0.37	0.31	0.05	0.16
StHeBC4_c12903_g28265	18.87	29.12	26.85	29.01	28.18	35.84	33.11	35.84
StHeBC4_c12903_g28266	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28267	4.37	0.87	1.73	2.45	2.02	2.25	1.4	1.25
StHeBC4_c12903_g28268	0.19	0.27	0.73	0.98	0.76	1.59	1.57	0.45
StHeBC4_c12903_g2827	0.12	0.21	0.58	1.19	1.48	1.32	0.64	0.51
StHeBC4_c12903_g28270	0.05	0	0	0	0	0	0	0
StHeBC4_c12903_g28271	0.51	0.2	0.38	0.36	1.19	0.5	0.56	0.19
StHeBC4_c12903_g28272	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28273	0.13	1.54	0.76	1.43	1.17	0.97	0.07	0.33
StHeBC4_c12903_g28274	7.66	0.45	1.72	1.4	0.88	2.18	0.4	0.77
StHeBC4_c12903_g28275	6.1	2.3	2.72	2.88	1.7	2.75	9.17	6.8
StHeBC4_c12903_g28276	6.82	13.32	16.47	11.43	14.97	19.44	8.89	9.6
StHeBC4_c12903_g28278	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28279	0	0	0.08	0.11	0.11	0.4	0.33	1.23
StHeBC4_c12903_g2828	0.21	0.11	0.17	0.21	0.09	0.17	0.16	0.17
StHeBC4_c12903_g28280	4.41	0.86	0.86	1.2	1.73	1.16	1.65	1.32
StHeBC4_c12903_g28281	4.22	3.72	6.19	4.23	4.61	3.31	1.74	16.02
StHeBC4_c12903_g28282	1.4	0.37	0.53	0.23	0	0.9	0.5	0.52
StHeBC4_c12903_g28283	5.05	1.91	3.16	2.98	4.61	1.32	1.34	1.98
StHeBC4_c12903_g28285	81.84	93.34	81.55	100.2	110.86	98.99	37.5	91.73
StHeBC4_c12903_g28286	0.38	1.6	2.49	5.26	6.96	7.62	3.14	2.06
StHeBC4_c12903_g28287	0	0.08	0.17	0.12	0.13	0	0	0.13
StHeBC4_c12903_g28288	0.04	0.24	0.14	0.29	0.46	0.22	0	0.05
StHeBC4_c12903_g28289	5.56	0.83	1.28	0.71	1.03	2.06	0.76	1.16
StHeBC4_c12903_g2829	0.2	0.19	0.04	0	0	0	37.76	1.34
StHeBC4_c12903_g28290	0.09	0.07	0.06	0.17	0.36	0.39	0	0.38
StHeBC4_c12903_g28291	1.81	0.65	1.29	1.08	0.41	1.72	1.28	4.02
StHeBC4_c12903_g28293	0.03	0.04	0.1	0	0	0.05	9.35	21.67
StHeBC4_c12903_g28294	0	0.03	0	0	0	0	0	0
StHeBC4_c12903_g28297	0.03	0.6	0.24	0.52	0.29	0.25	0.1	0.4
StHeBC4_c12903_g28298	15.65	0	0.75	0.72	0.26	4.5	0.97	1.28
StHeBC4_c12903_g28299	0.68	0.42	0.68	0.41	0.52	0.23	0.64	0.86
StHeBC4_c12903_g283	0	0	0	0	0	0	0	0
StHeBC4_c12903_g2830	0	0.11	0	0.33	0.09	0.94	0	0
StHeBC4_c12903_g28300	0.68	0.06	0.11	0.19	0.07	0	0	0.21
StHeBC4_c12903_g28301	0.01	1.39	1.19	0.89	0.91	1.31	0.1	0.55
StHeBC4_c12903_g28302	0.03	0.06	0.04	0.15	0.03	0	0	0.06
StHeBC4_c12903_g28304	0.51	3.73	5.03	5.6	3.69	3.98	1.05	3.34
StHeBC4_c12903_g28305	0.1	0	0.63	1.04	0.07	0.1	0.05	0.18
StHeBC4_c12903_g28306	0	1.14	0.62	0.24	0.3	0.09	0	0
StHeBC4_c12903_g28307	4.99	3.22	4.48	4.54	4.11	4.42	6.86	4.23
StHeBC4_c12903_g28308	1.06	0.74	1.51	0.86	1.22	1.45	0.18	0.54
StHeBC4_c12903_g28309	18.96	41.23	41.84	57.5	57.83	66.63	50.25	38.84
StHeBC4_c12903_g2831	66.27	124.31	136.08	168.27	169.06	169.81	137.36	272.77
StHeBC4_c12903_g28310	24.87	27.11	34.97	35.07	29.56	36.45	29.12	32.59
StHeBC4_c12903_g28311	0.64	4.25	4.7	4.96	4.18	3.73	2.46	7.9
StHeBC4_c12903_g28312	0	28.31	4.04	8.91	13.43	2.73	0.13	1.81
StHeBC4_c12903_g28313	4.44	10.33	13.51	16.41	15.79	26.68	12.56	15.64
StHeBC4_c12903_g28314	14.94	4.83	5.43	5.94	5	9.54	1.27	1.35
StHeBC4_c12903_g28315	2.18	3.82	3.61	4.74	5.5	10.15	6.77	3.57
StHeBC4_c12903_g28316	0.01	0.08	0.05	0.09	0.08	0.19	0.01	0.03
StHeBC4_c12903_g28317	18.48	20.67	12.51	17.11	20.04	7.57	0.67	21.81
StHeBC4_c12903_g28318	2.35	9.55	5.81	8.76	9.85	8.45	7.98	7.31
StHeBC4_c12903_g28319	25.43	19.02	21.79	22.77	27.61	26.32	23.27	15.5
StHeBC4_c12903_g2832	37.82	6.76	15.14	12.62	10.26	20.55	10.15	8.32
StHeBC4_c12903_g28320	23.95	14.66	21.02	15.9	15.31	16.43	17.2	14.23
StHeBC4_c12903_g28321	2.81	0.41	0.58	0.31	0.55	0.8	0.44	0.39
StHeBC4_c12903_g28322	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28323	0.13	0.15	0.23	0.24	0.27	0.55	0.23	0.49
StHeBC4_c12903_g28324	0	1.49	1.14	0	0.18	0	0	0.59
StHeBC4_c12903_g28325	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28326	5.78	1.97	3.47	3	3	1.03	0	0
StHeBC4_c12903_g28327	1.52	5.09	9.08	10.26	13.12	19.89	4.53	9.44
StHeBC4_c12903_g28328	0	0.3	0.12	0.31	0.44	0.13	0.03	0.05
StHeBC4_c12903_g2833	84.24	87.18	88.42	77.15	57.05	113.1	47.26	55.7
StHeBC4_c12903_g28330	0.83	11.36	8.08	10.22	13.65	24.77	29.37	25.14
StHeBC4_c12903_g28331	0.02	68.55	36.59	77.06	76.05	65.71	70.05	68.91
StHeBC4_c12903_g28332	28.76	70.95	139.19	34.08	30.25	37.82	59.11	30.27
StHeBC4_c12903_g28333	0.04	0	0	0	0	0	0	0
StHeBC4_c12903_g28334	0.97	7.37	11.81	9.7	6.57	6.19	1.32	2.19
StHeBC4_c12903_g28335	0.29	0	0.26	0	0.1	0.17	0	0.04
StHeBC4_c12903_g28336	0.24	0	0	0	0	0	0	0
StHeBC4_c12903_g28337	0.35	2.46	1.24	2.04	1.93	0.72	0.04	0.47
StHeBC4_c12903_g28338	0.36	0	0.44	0	0.55	13.79	0	0.77
StHeBC4_c12903_g28339	5.93	3.05	2.74	4.84	5.1	4.41	1.8	1.78
StHeBC4_c12903_g2834	0.96	0.55	0.7	0.94	0.94	1.45	0.91	0.73
StHeBC4_c12903_g28340	17.9	10.56	6.49	11.11	15.54	4.85	6.67	6.92
StHeBC4_c12903_g28341	0.15	0	0.27	0.16	0.03	0.36	0.1	0
StHeBC4_c12903_g28342	0	0.79	0.4	0	0	0	0	0.17
StHeBC4_c12903_g28343	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28344	1.22	0.18	0.22	0.58	0.5	1	0	0.26
StHeBC4_c12903_g28345	3.89	8.53	6.33	17.05	21.46	7.81	4.8	4.93
StHeBC4_c12903_g28347	3.74	3.01	3.86	6.7	10	3.18	0.81	2.29
StHeBC4_c12903_g28348	0	0.18	0.07	0.21	0	0.3	0.12	0.06
StHeBC4_c12903_g28349	6.83	2.86	6.85	5.31	3.97	6.92	2.78	5.17
StHeBC4_c12903_g2835	1.22	8.91	4.27	10.11	6.97	7.95	0.84	47.66
StHeBC4_c12903_g28351	24.93	26.15	25.89	27.17	28.2	24.21	26.15	25.06
StHeBC4_c12903_g28352	0.86	0.79	1.05	0.88	1.26	3.78	5.29	4.15
StHeBC4_c12903_g28353	41.98	10.77	21.02	13.33	10.29	40.66	12.72	12.75
StHeBC4_c12903_g28354	21	9.86	11.89	8.3	7.36	9.1	7.77	7.93
StHeBC4_c12903_g28356	3.21	2.57	5.55	5.65	5.03	4.99	10.29	13.4
StHeBC4_c12903_g28358	1.08	0.68	2.25	3.24	3.08	6.48	8.59	5.32
StHeBC4_c12903_g28359	0.89	1.96	1.02	3.3	2.99	1.97	0.05	0.45
StHeBC4_c12903_g2836	2.36	1.64	3.78	2.29	1.24	1.07	3.84	1.71
StHeBC4_c12903_g28361	2.87	5.31	2.64	4.78	9.98	3.84	5.78	3.43
StHeBC4_c12903_g28364	0.25	0	0.12	0	0	0	0	0
StHeBC4_c12903_g28365	11.78	17.75	15.88	39.22	54.46	17.88	11.15	14.99
StHeBC4_c12903_g28366	271.81	174.08	243.93	270.78	193.74	741.85	207.87	270.69
StHeBC4_c12903_g28367	0.09	0.14	0	0	0.19	0.14	0.07	0.18
StHeBC4_c12903_g28368	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28369	0	0.06	0	0	0	0	1.21	0.1
StHeBC4_c12903_g2837	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28370	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28371	7.4	5.01	6.15	4.41	4.41	5.5	1.5	2.08
StHeBC4_c12903_g28372	1.59	90.87	60.68	54.81	31.78	8.21	22.8	39.63
StHeBC4_c12903_g28373	0.14	0.09	0.2	0.15	0.08	0.39	0.15	0.25
StHeBC4_c12903_g28375	0.65	0.84	1.48	0.96	1.02	1.39	0.47	0.74
StHeBC4_c12903_g28376	1.95	90.41	51.65	117.69	317.93	41.03	19.44	32.4
StHeBC4_c12903_g28377	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28378	0	0	0	0	0.1	0	0	0
StHeBC4_c12903_g28379	14.09	13.66	21.49	20.32	14.25	42.31	12.12	5.14
StHeBC4_c12903_g2838	0	0	0.11	0	0.15	0	0.09	0.08
StHeBC4_c12903_g28380	0.89	2.77	8.92	12.53	6.97	18.73	6.26	3.29
StHeBC4_c12903_g28381	3	3.32	3.51	5.11	5.63	3.27	4.12	5.45
StHeBC4_c12903_g28382	0.22	0.05	0.21	0.14	0	0.21	0	0
StHeBC4_c12903_g28383	4.21	3.73	5.29	7.98	6.74	5.24	2.23	5.17
StHeBC4_c12903_g28384	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28385	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28386	10.32	6.35	8.21	7.61	7.18	18.16	13.11	22.02
StHeBC4_c12903_g28387	1.46	0.95	0.77	2	2.97	1.54	0.88	0.84
StHeBC4_c12903_g28388	17.3	29.1	31.05	35.09	26.41	27.74	6.45	21.34
StHeBC4_c12903_g28389	128.4	65.95	135.98	97.33	60.42	128.82	87.85	105.82
StHeBC4_c12903_g2839	40.96	18.72	19.1	19.32	15.49	16.14	17.24	30.2
StHeBC4_c12903_g28390	8.11	11.73	12.54	11.35	10.58	7.06	7.67	8.92
StHeBC4_c12903_g28391	2.23	2.13	1.6	2.04	2.59	1.59	1.2	2.57
StHeBC4_c12903_g28392	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28393	23.14	17.4	19.54	25.02	22.26	51.46	39.48	71.65
StHeBC4_c12903_g28394	2.82	4.66	5.88	8.64	6.14	7.43	11.69	8.47
StHeBC4_c12903_g28395	19.26	25.92	24.74	24.58	23.01	22.11	21.52	24.19
StHeBC4_c12903_g28396	253.7	212.3	305.2	326.88	147.27	533.79	1.99	4.99
StHeBC4_c12903_g28397	3.82	5.01	3.79	10.66	13.6	6.62	13.88	7.93
StHeBC4_c12903_g28398	0	0	0	0	0	0	0	0
StHeBC4_c12903_g28399	8.76	2.71	4.72	3.77	2.31	3.05	2	2.75
StHeBC4_c12903_g284	0	3.28	1.47	2.54	0.41	0.71	5.83	13.99
StHeBC4_c12903_g2840	121.42	24.87	44.01	19.6	11.6	15.19	12.94	7.51
StHeBC4_c12903_g28400	0.5	0.24	0.42	0.29	0.22	0	0.22	0.29
StHeBC4_c12903_g28401	3.97	2.12	3.08	2.86	0.92	2.61	1.33	2.69
StHeBC4_c12903_g28402	9.15	4.04	5.04	8.46	9.86	6.76	4.05	5.58
StHeBC4_c12903_g28403	2.99	1.8	1.53	1.77	1.49	2.76	0.9	0.56
StHeBC4_c12903_g28405	0	0	0.02	0	0	0	0	0
StHeBC4_c12903_g28406	0.18	0.19	0.18	0.38	0.37	2.23	0.36	0.45
StHeBC4_c12903_g28407	2.39	0.47	2.1	1.01	0.34	1.81	1.52	2.12
StHeBC4_c12903_g28408	18.85	8.7	12.69	10.03	8.1	16.52	11.05	7.42
StHeBC4_c12903_g2841	2.93	3.03	3.29	3.22	2.81	3.43	3.41	12.95
StHeBC4_c12903_g28410	3.25	1.58	2.57	2.88	4.59	3.24	0.27	0.96
StHeBC4_c12903_g28411	10.44	1.8	3.94	2.25	3.61	2.82	2.67	1.87
StHeBC4_c12903_g28412	26.71	7.02	10.57	10.61	9.69	13.78	7.19	9.91
StHeBC4_c12903_g28413	4.46	2.2	2.17	2.32	2.31	6.32	4.63	2.37
StHeBC4_c12903_g28414	7.08	2.1	2.84	2.26	1.5	3.63	0.71	0.36
StHeBC4_c12903_g28415	5.83	6.71	5.11	5.84	6.46	6.58	6.67	7.71
