gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c10118_g0	0.2	0.08	0.14	0.4	0.35	0.77	0.75	0.78
StHeBC4_c10119_g0	0.12	1.92	3.61	31	50.8	89.47	7.89	0.79
StHeBC4_c10122_g0	0	0	0	0	0	0	0	0
StHeBC4_c10128_g0	0	0	0	0.4	0.12	0	0	0
StHeBC4_c10132_g0	0	0.06	0	0.1	0.1	0.37	1.31	1.28
StHeBC4_c10133_g0	0	0	0	0	0	0	0	0
StHeBC4_c10135_g0	1.36	0.39	0.8	0.84	1.47	0.2	1.3	0.67
StHeBC4_c10138_g0	0	0	0	0	0.07	0	0.06	0.07
StHeBC4_c10139_g0	0	0	0	0	0	0	0.03	1.77
StHeBC4_c10141_g0	0.89	0	0.17	0.53	1.17	0.23	0.97	0.16
StHeBC4_c10143_g0	1.03	0.72	0.15	0.49	0.18	0.82	0.82	0.46
StHeBC4_c10144_g0	0	0	0	0	0	0	0	0
StHeBC4_c10146_g0	0.06	0.63	0.84	1.53	1.71	5.2	2.44	4.67
StHeBC4_c10146_g1	0.01	0.56	0.34	17.12	8.99	1.01	0.24	38.88
StHeBC4_c10148_g0	0	0	0	0	0	0	0	0
StHeBC4_c10150_g0	0	0.17	0.04	0.11	0.06	0	1.43	5.98
StHeBC4_c10153_g0	0	0	0	0	0	0	0	0
StHeBC4_c10156_g0	0.03	0.07	0.12	0.03	0.07	0.06	0.97	13.04
StHeBC4_c10158_g0	1.44	0.56	1.31	1.38	0.76	0.73	7.8	2.18
StHeBC4_c10161_g0	0.05	0	0	0	0	0	0	0.09
StHeBC4_c10162_g0	0	0	0	0	0	0	0	0
StHeBC4_c10164_g0	0.06	0	0.64	0.78	0.08	0.09	0.07	0.17
StHeBC4_c10166_g0	0	0	0.24	0.05	0	0	1.2	375.51
StHeBC4_c10167_g0	0	0.4	0.48	8.35	15.04	13.58	9.93	6.76
StHeBC4_c10169_g0	0.18	0	0	0.19	0	0	0	0
StHeBC4_c10173_g0	0.2	0.14	0.51	0.36	0.11	0.43	0.55	0.11
StHeBC4_c10174_g0	0	0	0	0	0	0	0	0
StHeBC4_c10175_g0	0.07	0.33	0.12	0.19	0.21	0	0.04	0.25
StHeBC4_c10175_g4	2.61	3.51	3.9	5.66	3.6	6.19	2.9	2.91
StHeBC4_c10175_g5	0.15	0.07	0.09	0.11	0.11	0	0.16	0.07
StHeBC4_c10175_g6	1.99	1.17	1.06	1.7	2	2.21	1.42	1.19
StHeBC4_c10178_g0	0.69	0.42	0.64	0.47	0.12	0.43	1.32	0.95
StHeBC4_c10181_g0	0.04	1.18	0.6	2.51	4.3	0.29	0.2	0.44
StHeBC4_c10182_g0	0.13	0.15	0	0.17	0	0	0	0
StHeBC4_c10185_g0	0	0.28	0	0.09	0	0	0	0
StHeBC4_c10187_g0	0.69	0.38	0.65	0.34	1.08	0.79	0.46	0.52
StHeBC4_c10188_g0	0	0.15	0	1.39	0.29	0.24	0.26	0.69
StHeBC4_c10189_g0	0	0.14	1.02	0.95	0.49	0.86	0	0.72
StHeBC4_c10190_g0	0	3.57	0.53	1.62	2.18	0.69	2.51	4.35
StHeBC4_c10191_g0	0	0	0	2.75	0.63	0.09	0	0
StHeBC4_c10193_g0	0.21	0	0.21	0.13	0.56	0.16	0.25	0.25
StHeBC4_c10194_g0	0	0	0	0	0	0	0	0
StHeBC4_c10195_g0	0.09	137.28	259.08	140.27	11.44	4.88	0.29	0.22
StHeBC4_c10196_g0	0.05	1.55	1.32	8.98	7.37	1.95	0.05	1.06
