gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c17648_g0	0.09	0.02	0	0.09	0.05	0.03	0	0.03
StHeBC4_c18569_g0	3.11	0.31	0.4	0.48	0.35	0.11	0.56	2.3
StHeBC4_c18569_g2	2.51	0.58	0.7	0.95	0.56	0.48	0.72	1.35
StHeBC4_c18860_g2	0.69	0.2	0.52	0.23	0.23	0.41	0.26	0.28
StHeBC4_c18968_g1	1.1	1.74	2.39	1.33	1.07	0.88	1.28	0.72
StHeBC4_c18975_g4	0.23	0.34	0.21	0.58	0.1	0.2	0.04	0.18
StHeBC4_c18975_g7	2.22	0.4	0.75	1.5	1.38	1.43	2.48	2.28
StHeBC4_c19033_g0	0	0.08	0.05	0.06	0	0.08	0.06	0
StHeBC4_c20119_g0	0.15	0	0	0	0	0	0	0
StHeBC4_c20608_g0	4.86	6.71	3.9	4.1	4.17	2.8	0.61	6.06
StHeBC4_c20621_g7	39.93	26.49	37.72	36.58	27.14	39.79	31.56	36.52
StHeBC4_c21038_g1	0.99	1.13	1.25	1.99	1.73	1.46	0.18	0.31
StHeBC4_c22011_g3	12.88	9.74	10.98	8.36	5.87	9.5	6.48	4.47
StHeBC4_c22472_g0	0.09	0.03	0.03	0.09	0.04	0	0.02	0.01
StHeBC4_c23083_g3	0.41	0.14	0.35	0.3	0.3	0.74	0.22	0.54
StHeBC4_c23323_g2	54.99	14.02	26.84	20	17.7	18.87	8.49	9.29
StHeBC4_c23585_g1	5.01	0.67	1.01	1.25	0.57	0.3	0	0.05
StHeBC4_c24106_g0	0	0.11	0.08	0.22	0.1	0.28	0	0
StHeBC4_c24484_g1	3.4	0.72	1.14	1.34	0.92	2.78	1.77	2.35
StHeBC4_c24979_g0	4.25	5.84	6.54	9.33	8.97	10.18	6.41	7.21
StHeBC4_c24979_g1	1.74	1.41	1.17	1.35	2.56	1.53	4.4	3.41
StHeBC4_c25304_g0	0.77	0.97	1.01	6.23	11.02	0.71	1.7	5.95
StHeBC4_c26043_g0	18.64	18.91	18.94	23.54	26.64	9.53	16.57	25.98
StHeBC4_c26242_g21	0.04	0.17	0.17	0.28	0.23	0.02	0	0.29
StHeBC4_c26811_g0	14.46	8.05	8.44	8.89	11.6	11.63	6.37	7.05
StHeBC4_c26825_g3	0.2	6.92	4.28	6.15	3.14	1.98	0.07	2.03
StHeBC4_c26987_g0	7.01	1.3	4.38	5.33	5.97	1.6	4.97	12.37
StHeBC4_c9824_g0	0.61	0.12	0.41	0	0.12	0.14	0	0.37
StHeBC4_c9911_g3	0.61	0.32	0.38	0.22	0.29	0.69	0.12	0.22
